ingredient,form,prior_bio_score,current_bio_score,delta,prior_tier,current_tier,products_using_this_form,review_bucket,proposed_axis,axis_status,candidate_pmids,candidate_claim,prior_evidence_reference_status,legacy_claim_under_review,current_recalibration_reason,review_question,clinician_decision,clinician_approved_score,clinician_notes,review_status
oregano,oregano (unspecified),12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,good (carvacrol + thymol class baseline),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
organ_extracts,freeze-dried,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,composite food; lyophilization preserves heat-sensitive nutrients vs heat drying,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
paba,paba (para-aminobenzoic acid) (unspecified),12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,unknown,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
phosphatidylserine,bovine phosphatidylserine,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,good to excellent (well-absorbed; crosses BBB),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
phosphatidylserine,liposomal phosphatidylserine,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,good to excellent — no PK study showing liposomal advantage for PS,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
phosphatidylserine,sharp-ps gold (PS-DHA conjugate),12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,audit-trail pointer only,PS-DHA conjugate; DHA carrier may aid lipid absorption; PS still hydrolyzed,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
prebiotics,fructooligosaccharides (FOS),12,11,-1,Excellent,Good,0,local_delivery_recheck,delivery_to_site,architectural_axis_candidate_not_adjudicated,,,NONE,excellent fermentation,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does delivery-to-site evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
prebiotics,galactooligosaccharides (GOS),12,11,-1,Excellent,Good,0,local_delivery_recheck,delivery_to_site,architectural_axis_candidate_not_adjudicated,,,NONE,excellent fermentation,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does delivery-to-site evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
probiotics,freeze-dried with prebiotics,12,11,-1,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
probiotics,liquid probiotics,12,11,-1,Excellent,Good,0,local_delivery_recheck,organism_survivability,architectural_axis_candidate_not_adjudicated,,,NONE,good (rapid uptake),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does survival or delivery evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
sea_buckthorn,sea buckthorn berry oil,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,palmitoleic-rich oil; plasma 16:1n-7 unchanged at 5g/d (Johansson 2000),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
selenium,selenocysteine,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,"organic Se; high F, channels into selenoprotein synthesis","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
shilajit,purified shilajit extract,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,purified extract; class-equivalent to PrimaVie; no human PK,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
silk_amino_acids,silk peptides,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,"high (~95% as amino acids); ""peptide"" marketing — no human PK advantage vs hydrolysate","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
slippery_elm,inner bark powder,12,11,-1,Excellent,Good,0,local_delivery_recheck,delivery_to_site,architectural_axis_candidate_not_adjudicated,,,NONE,category_error (mucilage demulcent; not systemic),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Does delivery-to-site evidence support the form tier without requiring systemic absorption?,,,,not_clinically_approved
taurine,liposomal taurine,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
tuna_oil,tuna oil triglyceride,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,tuna TG: same fish-TG class chemistry; species variant only,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
vitamin_a,liposomal vitamin A,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,very high (mechanistic); efficient enterocyte uptake via lipid bilayer,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
vitamin_a,micellized vitamin A,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,"very high; micellar dispersion bypasses fat-dependence, ~70-90% absorption efficiency","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
vitamin_b12_cobalamin,methylcobalamin sublingual,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,sublingual; bypasses IF — ~10-40% absorbed at 1000 mcg via oral mucosa,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
vitamin_b5_pantothenic,calcium pantothenate,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,saturable SMVT transport; F ~40-60% at supplement doses,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
vitamin_b9_folate,calcium folinate,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,reduced folate; bypasses DHFR; F similar to 5-MTHF,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
vitamin_c,vitamin C with bioflavonoids,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,75%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
vitamin_d,liposomal D3,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,NONE,liposomal carrier; claims of enhanced uptake — limited human PK data,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
vitamin_d,micellized D3,12,11,-1,Excellent,Good,0,axis_and_evidence_review,needs_clinician_assignment,not_assigned,,,inline PMID/DOI,micellar emulsion; modest improvement over standard D3 in low-fat conditions,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",Which existing form_evidence axis and score are supported by exact-form or reviewed class evidence?,,,,not_clinically_approved
